latitude,longitude,k_value,lithology_name
-18.501,-177.303,0.5,calcareous ooze
-20.222,-176.823,0.275,calcareous ooze
44.69,-168.24,0.5,bauxite
65.468,-163.466,0.648,sandstone
68.209,-162.729,0.43333333333333335,sandstone
55.547,-161.187,0.51875,sandstone
59.571,-161.016,0.631578947368421,siliciclastic
68.794,-159.956,0.44000000000000006,sandstone
67.389,-159.922,0.6571428571428571,greywacke
69.847,-159.802,0.43333333333333335,sandstone
59.066,-159.708,0.5800000000000001,sandstone
68.272,-159.508,0.39999999999999997,sandstone
60.23,-159.341,0.5230769230769231,sandstone
64.971,-158.131,0.6086956521739131,sandstone
56.911,-157.786,0.5529411764705883,sandstone
68.374,-156.7,0.4727272727272727,sandstone
67.707,-154.909,0.5769230769230769,sandstone
58.608,-154.716,0.5529411764705883,sandstone
70.644,-154.583,0.4882352941176471,sandstone
68.198,-154.416,0.5230769230769231,sandstone
62.24,-154.033,0.56,siliciclastic
68.973,-153.516,0.48000000000000004,sandstone
57.559,-153.397,0.6052631578947368,sandstone
64.914,-153.326,0.6,sandstone
67.758,-152.784,0.425,sandstone
60.0,-152.508,0.5578947368421052,sandstone
62.986,-151.935,0.5866666666666667,sandstone
67.482,-151.723,0.48666666666666664,sandstone
68.296,-151.695,0.44000000000000006,sandstone
70.26,-151.269,0.45,sandstone
67.907,-150.633,0.5705882352941176,sandstone
67.048,-150.095,0.6541666666666667,siliciclastic
64.533,-149.97,0.62,sandstone
70.343,-149.276,0.47058823529411764,sandstone
62.327,-148.932,0.5333333333333333,sandstone
68.887,-148.905,0.52,sandstone
60.958,-148.723,0.7166666666666667,sandstone
26.03,-147.933,0.5,calcareous ooze
63.175,-147.925,0.6714285714285715,greywacke
64.323,-147.925,0.5846153846153846,sandstone
65.882,-147.668,0.6576923076923078,sandstone
69.889,-147.653,0.46875,sandstone
60.058,-147.196,0.5,sandstone
61.743,-146.914,0.631578947368421,sandstone
65.001,-146.083,0.6888888888888889,conglomerate
63.34,-145.831,0.59375,sandstone
70.015,-145.668,0.46153846153846156,sandstone
62.353,-145.468,0.5,sandstone
59.9,-144.449,0.5599999999999999,sandstone
64.666,-144.371,0.7523809523809524,sand
60.35,-144.178,0.6375,sandstone
65.915,-144.125,0.585,sandstone
69.793,-143.479,0.525,sandstone
67.085,-143.374,0.4846153846153846,sandstone
69.046,-142.446,0.5947368421052632,sandstone
62.392,-142.418,0.5916666666666667,sandstone
60.221,-142.292,0.5846153846153845,siliciclastic
61.217,-141.986,0.593939393939394,siliciclastic
63.645,-141.959,0.6961538461538462,siliciclastic
66.054,-141.526,0.54375,sandstone
59.833,-140.533,0.6142857142857142,sandstone
60.817,-140.178,0.64,sandstone
14.87,-140.044,0.5,calcareous ooze
67.751,-139.853,0.4727272727272727,sandstone
68.762,-139.273,0.5272727272727272,sandstone
67.172,-139.211,0.4571428571428572,sandstone
59.443,-139.021,0.6833333333333332,arkose
61.033,-138.832,0.6521739130434783,sandstone
64.55,-138.817,0.615,sandstone
65.829,-138.751,0.5285714285714286,sandstone
66.548,-137.569,0.4666666666666667,sandstone
60.04,-137.42,0.7064516129032259,sandstone
67.036,-137.369,0.4727272727272727,sandstone
68.523,-137.287,0.45,sandstone
68.777,-137.226,0.43333333333333335,sandstone
61.454,-137.17,0.676,arkose
58.653,-137.141,0.676923076923077,sandstone
62.135,-136.216,0.7263157894736842,breccia
60.583,-135.826,0.7818181818181817,sand
65.718,-135.657,0.4727272727272727,sandstone
59.325,-135.641,0.5,sandstone
8.889,-135.367,0.5,calcareous ooze
58.622,-135.303,0.575,greywacke
61.426,-134.99,0.58,arkose
64.891,-134.436,0.5,sandstone
62.78,-134.215,0.65,sandstone
69.131,-133.994,0.41,sandstone
56.738,-133.806,0.62,sandstone
58.58,-133.638,0.6583333333333333,sandstone
31.537,-133.373,0.5,calcareous ooze
0.499,-133.309,0.5,calcareous ooze
59.258,-133.272,0.625,sandstone
55.683,-133.265,0.625,sandstone
65.528,-133.235,0.4846153846153846,sandstone
61.031,-133.199,0.7176470588235295,conglomerate
67.943,-132.77,0.37142857142857144,carbonate
55.094,-132.335,0.6307692307692307,greywacke
53.142,-132.193,0.5789473684210527,sandstone
58.621,-131.823,0.6,greywacke
61.155,-131.571,0.6166666666666667,sandstone
57.909,-131.512,0.6294117647058824,sandstone
68.993,-131.014,0.3875,sandstone
11.705,-130.88,0.5,calcareous ooze
58.693,-130.75,0.645,greywacke
64.319,-130.717,0.5411764705882353,sandstone
61.469,-130.617,0.6708333333333334,sandstone
65.086,-130.536,0.4444444444444444,sandstone
40.985,-130.11,0.5,calcareous ooze
54.497,-129.964,0.655,greywacke
-18.806,-129.77,0.5,calcareous ooze
62.604,-129.404,0.5846153846153845,sandstone
57.913,-129.368,0.6799999999999999,sandstone
58.92,-129.23,0.6428571428571429,sandstone
54.513,-128.86,0.7222222222222222,sand
63.261,-128.852,0.5083333333333333,sandstone
47.917,-128.792,0.35000000000000003,sand
47.909,-128.749,0.35000000000000003,sand
60.352,-128.729,0.5666666666666667,sandstone
47.888,-128.648,0.35000000000000003,sand
47.89,-128.566,0.35000000000000003,sand
47.858,-128.504,0.35000000000000003,sand
47.832,-128.376,0.35000000000000003,sand
64.406,-128.109,0.46153846153846156,sandstone
50.606,-128.065,0.611764705882353,sandstone
55.045,-127.987,0.6166666666666667,sandstone
58.822,-127.799,0.6,sandstone
55.276,-127.634,0.58,sandstone
63.139,-127.607,0.4642857142857143,sandstone
40.955,-127.515,0.38,calcareous ooze
62.81,-127.445,0.5,sandstone
53.504,-126.976,0.6333333333333333,sandstone
68.317,-126.655,0.44000000000000006,sandstone
65.367,-126.552,0.41,sandstone
62.963,-126.496,0.4571428571428572,sandstone
61.204,-126.41,0.4846153846153846,sandstone
56.413,-125.794,0.6625,sandstone
59.51,-125.695,0.51,sandstone
65.053,-125.65,0.4538461538461539,sandstone
58.173,-125.63,0.5166666666666667,sandstone
56.652,-125.341,0.625,sandstone
58.709,-125.315,0.5333333333333333,sandstone
62.854,-125.285,0.4375,sandstone
51.313,-124.84,0.6411764705882353,sandstone
56.819,-124.751,0.631578947368421,sandstone
63.763,-124.699,0.5125,sand
48.605,-124.613,0.6263157894736843,sandstone
48.158,-124.495,0.5,sandstone
42.772,-124.391,0.39999999999999997,sandstone
40.557,-124.349,0.4785714285714286,sandstone
47.46,-124.226,0.475,sandstone
49.157,-124.204,0.5722222222222223,sandstone
43.428,-124.201,0.4727272727272727,sandstone
40.446,-124.093,0.39999999999999997,sandstone
43.818,-124.078,0.5,sandstone
51.127,-124.035,0.6285714285714287,sandstone
41.975,-123.927,0.55,sandstone
44.611,-123.896,0.51875,sandstone
46.094,-123.868,0.4785714285714286,sandstone
58.193,-123.698,0.5357142857142857,sandstone
46.991,-123.693,0.47500000000000003,sandstone
65.705,-123.642,0.55625,sandstone
38.911,-123.593,0.45,sandstone
40.804,-123.519,0.6307692307692309,sandstone
46.49,-123.501,0.5,sandstone
68.64,-123.42,0.4727272727272727,sandstone
74.152,-123.321,0.5,sandstone
45.094,-123.256,0.5,sandstone
63.538,-123.243,0.5222222222222223,sandstone
45.933,-123.162,0.5,sandstone
40.761,-123.15,0.47000000000000003,sandstone
40.57,-123.131,0.525,sandstone
44.081,-123.083,0.5214285714285715,sandstone
48.025,-123.034,0.4454545454545455,sandstone
38.083,-122.908,0.4571428571428572,sandstone
46.658,-122.876,0.5,sandstone
43.25,-122.859,0.4727272727272727,sandstone
40.748,-122.85,0.3875,sandstone
59.458,-122.829,0.5333333333333333,sandstone
51.0,-122.728,0.5,sandstone
47.565,-122.724,0.45,sandstone
38.372,-122.695,0.4846153846153846,sandstone
49.772,-122.655,0.6611111111111111,sandstone
41.723,-122.635,0.4583333333333333,graywacke
53.528,-122.601,0.6411764705882353,sandstone
45.243,-122.579,0.5,sandstone
60.815,-122.56,0.5117647058823529,sandstone
41.108,-122.554,0.5466666666666667,sandstone
40.26,-122.48,0.5071428571428572,sandstone
37.235,-122.404,0.47692307692307695,sandstone
37.528,-122.4,0.43846153846153846,sandstone
52.116,-122.389,0.62,sandstone
48.723,-122.32,0.41818181818181815,siliciclastic
37.976,-122.317,0.5142857142857143,sandstone
56.705,-122.29,0.47000000000000003,sandstone
39.591,-122.283,0.48571428571428577,sandstone
37.322,-122.272,0.5166666666666667,sandstone
63.263,-122.205,0.5375,sandstone
37.834,-122.204,0.5823529411764706,sandstone
37.069,-122.104,0.575,sandstone
38.091,-122.079,0.47500000000000003,sandstone
38.532,-121.964,0.4875,sandstone
47.071,-121.953,0.44000000000000006,siliciclastic
50.723,-121.953,0.5375,sandstone
41.245,-121.943,0.5684210526315789,sandstone
49.146,-121.941,0.5833333333333334,sandstone
37.939,-121.931,0.585,siliciclastic
37.346,-121.921,0.44666666666666666,sandstone
37.789,-121.848,0.55,sandstone
57.993,-121.846,0.5083333333333333,sandstone
38.11,-121.81,0.47500000000000003,sandstone
36.482,-121.741,0.5900000000000001,sandstone
38.408,-121.498,0.5066666666666667,sandstone
36.83,-121.496,0.5800000000000001,sandstone
49.41,-121.493,0.5857142857142856,sandstone
56.305,-121.468,0.58,sandstone
36.078,-121.456,0.509090909090909,sandstone
73.2,-121.416,0.4666666666666667,sandstone
37.706,-121.39,0.53,sandstone
50.829,-121.354,0.5952380952380952,sandstone
36.685,-121.282,0.49333333333333335,sandstone
47.695,-121.158,0.4454545454545455,sandstone
52.512,-121.113,0.7157894736842105,carbonatite
72.086,-121.068,0.4666666666666667,sandstone
38.508,-120.99,0.64,sandstone
37.988,-120.985,0.5235294117647059,sandstone
44.334,-120.942,0.6142857142857142,sandstone
60.424,-120.94,0.5642857142857143,sandstone
